time,temp,ftemp,wind,cloud,humidity
2022-04-02 16:54,1.6,-2.3,14.4,100,91
2022-04-02 17:53,0.0,-4.2,6.8,75,93
2022-04-02 17:57,1.5,-2.3,13.7,100,93
2022-04-02 17:57,1.5,-2.3,13.7,100,93
